Name,URI,Popularity,Genres,Followers
"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,84.0,"['hip hop', 'rap']",13747108.0
Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK,78.0,['r&b'],4904085.0
The Kid LAROI,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,80.0,['australian hip hop'],5027426.0
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,74.0,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",3982397.0
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,86.0,"['r&b', 'rap']",20958259.0
Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,80.0,"['pop', 'uk pop']",12112436.0
Ruth B.,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY,72.0,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",3256059.0
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,86.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",22402262.0
Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,83.0,"['glam rock', 'mellow gold', 'piano rock', 'rock']",12728802.0
Rosa Linn,spotify:artist:46xBNx0j6cwY6sD9LgMTm1,67.0,['alt z'],331540.0
Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT,74.0,"['folk-pop', 'modern rock']",2971295.0
Adele,spotify:artist:4dpARuHxo51G3z768sgnrY,84.0,"['british soul', 'pop', 'pop soul', 'uk pop']",53395887.0
Tears For Fears,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,73.0,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",3232837.0
Lord Huron,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,74.0,"['indie folk', 'stomp and holler']",1428224.0
Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,73.0,"['pop rap', 'seattle hip hop']",2580771.0
Tory Lanez,spotify:artist:2jku7tDXc6XoB6MO2hFuqg,80.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6305791.0
Hotel Ugly,spotify:artist:35WVTyRnKAoaGExqgktVyb,74.0,['modern indie pop'],511918.0
Keane,spotify:artist:53A0W3U0s8diEn9RhXQhVz,72.0,"['neo mellow', 'piano rock', 'pop rock']",3212260.0
Zach Bryan,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,87.0,"['classic oklahoma country', 'modern country pop']",2974255.0
INTERWORLD,spotify:artist:5hKGLu4Ik88FzWcTPhWNTN,70.0,['phonk brasileiro'],630908.0
Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,86.0,"['australian dance', 'australian pop', 'pop']",27400148.0
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,83.0,"['lgbtq+ hip hop', 'neo soul']",12657296.0
The Police,spotify:artist:5NGO30tJxFlKixkPSgXcFE,75.0,"['album rock', 'classic rock', 'permanent wave', 'rock']",5822204.0
Lizzy McAlpine,spotify:artist:1GmsPCcpKgF9OhlNXjOsbS,71.0,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",762594.0
Steve Lacy,spotify:artist:57vWImR43h4CaDao012Ofp,80.0,['afrofuturism'],4101081.0
Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,82.0,"['irish singer-songwriter', 'modern rock', 'pov: indie']",6313614.0
James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,81.0,"['pop', 'talent show', 'uk pop']",15140449.0
The Walters,spotify:artist:027TpXKGwdXP7iwbjUSpV8,70.0,"['chicago indie', 'pov: indie']",612902.0
Øneheart,spotify:artist:0dgJbQ0bKPyUXco8hEXN7X,74.0,['hardwave'],512143.0
Mora,spotify:artist:0Q8NcsJwoCbZOHHW63su5S,83.0,"['trap latino', 'urbano latino']",3833207.0
Daryl Hall & John Oates,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,74.0,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",2292898.0
Don Omar,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,81.0,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",10752817.0
LiSA,spotify:artist:0blbVefuxOGltDBa00dspv,67.0,"['anime', 'anime rock', 'j-pixie', 'j-pop']",3044302.0
Coolio,spotify:artist:3y24n3XhZ96wgwRXjvS17T,67.0,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']",1049705.0
Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,80.0,"['dance pop', 'edm', 'pop', 'pop dance']",22979106.0
XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,85.0,"['emo rap', 'miami hip hop', 'rap']",43794699.0
Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,78.0,"['bedroom pop', 'pop', 'pov: indie']",9045203.0
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,85.0,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",16489252.0
Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS,82.0,"['contemporary country', 'country']",9827892.0
YoungBoy Never Broke Again,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,82.0,"['baton rouge rap', 'rap']",12252173.0
Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,84.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",6525887.0
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U,81.0,"['hip hop', 'pittsburgh rap', 'rap']",9926382.0
